season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
8,15,174,The Comic Book Store Regeneration,Mark Cendrowski,Story by: Jim Reynolds & Maria Ferrari & Jeremy HoweTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,19-02-2015,4X6764,17490000
8,16,175,The Intimacy Acceleration,Mark Cendrowski,Story by: Dave Goetsch & Eric Kaplan & Tara HernandezTeleplay by: Steven Molaro & Jim Reynolds & Steve Holland,26-02-2015,4X6766,16670000
8,17,176,The Colonization Application,Mark Cendrowski,Story by: Dave Goetsch & Jim Reynolds & Tara HernandezTeleplay by: Steven Molaro & Eric Kaplan & Maria Ferrari,05-03-2015,4X6767,18170000
8,18,177,The Leftover Thermalization,Mark Cendrowski,Story by: Steven Molaro & Maria Ferrari & Jeremy HoweTeleplay by: Eric Kaplan & Jim Reynolds & Steve Holland,12-03-2015,4X6768,18130000
8,19,178,The Skywalker Incursion,Mark Cendrowski,Story by: Jim Reynolds & Tara Hernandez & Jeremy HoweTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,02-04-2015,4X6769,16890000
8,20,179,The Fortification Implementation,Mark Cendrowski,Story by: Jim Reynolds & Saladin Patterson & Tara HernandezTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,09-04-2015,4X6770,16780000
8,21,180,The Communication Deterioration,Mark Cendrowski,Story by: Dave Goetsch & Steve Holland & Jeremy HoweTeleplay by: Steven Molaro & Eric Kaplan & Jim Reynolds,16-04-2015,4X6771,16020000
8,22,181,The Graduation Transmission,Anthony Rich,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Steven Molaro & Steve Holland & Eric Kaplan,23-04-2015,4X6772,16630000
8,23,182,The Maternal Combustion,Anthony Rich,Story by: Steven Molaro & Tara Hernandez & Jeremy HoweTeleplay by: Chuck Lorre & Jim Reynolds & Maria Ferrari,30-04-2015,4X6773,15850000
8,24,183,The Commitment Determination,Mark Cendrowski,Story by: Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Eric Kaplan,07-05-2015,4X6774,17640000
9,1,184,The Matrimonial Momentum,Mark Cendrowski,Story by: Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Eric Kaplan,21-09-2015,4X7201,18200000
9,2,185,The Separation Oscillation,Mark Cendrowski,Story by: Steven Molaro & Steve Holland & Tara HernandezTeleplay by: Chuck Lorre & Jim Reynolds & Maria Ferrari,28-09-2015,4X7202,17230000
9,3,186,The Bachelor Party Corrosion,Mark Cendrowski,Story by: Dave Goetsch & Jim Reynolds & Jeremy HoweTeleplay by: Steven Molaro & Steve Holland & Eric Kaplan,05-10-2015,4X7203,17400000
9,4,187,The 2003 Approximation,Mark Cendrowski,Story by: Chuck Lorre & Steve Holland & Eric KaplanTeleplay by: Steven Molaro & Maria Ferrari & Tara Hernandez,12-10-2015,4X7204,16960000
9,5,188,The Perspiration Implementation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Maria FerrariTeleplay by: Steven Molaro & Jim Reynolds & Saladin K. Patterson,19-10-2015,4X7205,17680000
9,6,189,The Helium Insufficiency,Mark Cendrowski,Story by: Steve Holland & Maria Ferrari & Anthony Del BroccoloTeleplay by: Steven Molaro & Eric Kaplan & Jim Reynolds,26-10-2015,4X7207,18320000
9,7,190,The Spock Resonance,Nikki Lorre,Story by: Chuck Lorre & Jim Reynolds & Tara HernandezTeleplay by: Steven Molaro & Steve Holland & Jeremy Howe,05-11-2015,4X7206,18810000
9,8,191,The Mystery Date Observation,Mark Cendrowski,Story by: Steven Molaro & Eric Kaplan & Jim ReynoldsTeleplay by: Chuck Lorre & Steve Holland & Tara Hernandez,12-11-2015,4X7208,17920000
9,9,192,The Platonic Permutation,Mark Cendrowski,Story by: Jim Reynolds & Jeremy Howe & Tara HernandezTeleplay by: Steve Holland & Maria Ferrari & Adam Faberman,19-11-2015,4X7209,18190000
9,10,193,The Earworm Reverberation,Mark Cendrowski,Story by: Eric Kaplan & Jim Reynolds & Saladin K. PattersonTeleplay by: Steven Molaro & Steve Holland & Jeremy Howe,10-12-2015,4X7210,19270000
9,11,194,The Opening Night Excitation,Mark Cendrowski,Story by: Steven Molaro & Eric Kaplan & Tara HernandezTeleplay by: Steve Holland & Jim Reynolds & Maria Ferrari,17-12-2015,4X7211,18230000
9,12,195,The Sales Call Sublimation,Mark Cendrowski,Story by: Steve Holland & Jim Reynolds & Saladin K. PattersonTeleplay by: Steven Molaro & Maria Ferrari & Anthony Del Broccolo,07-01-2016,4X7212,17850000
9,13,196,The Empathy Optimization,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Dave GoetschTeleplay by: Steven Molaro & Steve Holland & Saladin K. Patterson,14-01-2016,4X7213,16750000
9,14,197,The Meemaw Materialization,Mark Cendrowski,Story by: Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Tara Hernandez,04-02-2016,4X7214,17290000
9,15,198,The Valentino Submergence,Mark Cendrowski,Story by: Steven Molaro & Jim Reynolds & Tara HernandezTeleplay by: Steve Holland & Eric Kaplan & Jeremy Howe,11-02-2016,4X7215,18250000
9,16,199,The Positive Negative Reaction,Mark Cendrowski,Story by: Eric Kaplan & Jim Reynolds & Saladin K. PattersonTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,18-02-2016,4X7216,19060000
9,17,200,The Celebration Experimentation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jeremy HoweTeleplay by: Steven Molaro & Steve Holland & Tara Hernandez,25-02-2016,4X7217,18940000
9,18,201,The Application Deterioration,Mark Cendrowski,Story by: Steven Molaro & Eric Kaplan & Adam FabermanTeleplay by: Steve Holland & Jim Reynolds & Maria Ferrari,10-03-2016,4X7218,18680000
9,19,202,The Solder Excursion Diversion,Mark Cendrowski,Story by: Bill Prady & Eric Kaplan & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Saladin K. Patterson,31-03-2016,4X7219,17240000
9,20,203,The Big Bear Precipitation,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Tara HernandezTeleplay by: Steven Molaro & Steve Holland & Jim Reynolds,07-04-2016,4X7220,17500000
9,21,204,The Viewing Party Combustion,Mark Cendrowski,Story by: Eric Kaplan & Maria Ferrari & Jeremy HoweTeleplay by: Steven Molaro & Steve Holland & Tara Hernandez,21-04-2016,4X7221,17160000
9,22,205,The Fermentation Bifurcation,Nikki Lorre,Story by: Steven Molaro & Jim Reynolds & Anthony Del BroccoloTeleplay by: Chuck Lorre & Steve Holland & Tara Hernandez,28-04-2016,4X7222,16130000
9,23,206,The Line Substitution Solution,Anthony Rich,Story by: Steve Holland & Saladin K. Patterson & Tara HernandezTeleplay by: Steven Molaro & Eric Kaplan & Maria Ferrari,05-05-2016,4X7223,15220000
9,24,207,The Convergence Convergence,Mark Cendrowski,Story by: Steven Molaro & Tara Hernandez & Adam FabermanTeleplay by: Chuck Lorre & Steve Holland & Jeremy Howe,12-05-2016,4X7224,16730000
10,1,208,The Conjugal Conjecture,Mark Cendrowski,Story by: Chuck Lorre & Steve Holland & Tara HernandezTeleplay by: Steven Molaro & Eric Kaplan & Jim Reynolds,19-09-2016,T12.15303,18820000
10,2,209,The Military Miniaturization,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Steven Molaro & Steve Holland & Maria Ferrari,26-09-2016,T12.15301,17240000
10,3,210,The Dependence Transcendence,Mark Cendrowski,Story by: Steven Molaro & Saladin K. Patterson & Tara HernandezTeleplay by: Steve Holland & Maria Ferrari & Jeremy Howe,03-10-2016,T12.15302,17320000
10,4,211,The Cohabitation Experimentation,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by: Steven Molaro & Steve Holland & Tara Hernandez,10-10-2016,T12.15304,16410000
10,5,212,The Hot Tub Contamination,Mark Cendrowski,Story by: Chuck Lorre & Maria Ferrari & Tara HernandezTeleplay by: Steve Holland & Eric Kaplan & Jim Reynolds,17-10-2016,T12.15305,18200000
10,6,213,The Fetal Kick Catalyst,Mark Cendrowski,Story by: Steve Holland & Tara Hernandez & Jeremy HoweTeleplay by: Steven Molaro & Saladin K. Patterson & Anthony Del Broccolo,27-10-2016,T12.15306,17310000
10,7,214,The Veracity Elasticity,Mark Cendrowski,Story by: Steven Molaro & Eric Kaplan & Maria FerrariTeleplay by: Steve Holland & Jim Reynolds & Adam Faberman,03-11-2016,T12.15307,18180000
10,8,215,The Brain Bowl Incubation,Mark Cendrowski,Story by: Chuck Lorre & Steve Holland & Saladin K. PattersonTeleplay by: Steven Molaro & Maria Ferrari & Tara Hernandez,10-11-2016,T12.15308,17470000
10,9,216,The Geology Elevation,Mark Cendrowski,Story by: Chuck Lorre & Erik Kaplan & Maria FerrariTeleplay by: Steve Holland & Jim Reynolds & Jeremy Howe,17-11-2016,T12.15309,16340000
10,10,217,The Property Division Collision,Mark Cendrowski,Story by: Steve Holland & Bill Prady & Steve GoetschTeleplay by: Steven Molaro & Maria Ferrari & Tara Hernandez,01-12-2016,T12.15310,16540000
